Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002371;657955;75012;14;2;RATP;TRAVAUX_OUVRAGE;Travaux relatifs à la modernisation de la ligne 6- - Création d'ouvrage en sous-oeuvre;Place de la Nation;Entre avenue du Bel Air et avenue du Trône;2022-07-18;2025-11-28;RESTREINTE;;2;4;;"{""coordinates"": [[[2.39718197466874, 48.84798095976355], [2.3973323649379124, 48.847915090566765], [2.397254174864216, 48.84782600596514], [2.3971559410265293, 48.84773811448033], [2.396988410662728, 48.84759651586232], [2.3968185718801727, 48.84751245144689], [2.3967071568521323, 48.847574043170916], [2.396595364865238, 48.84773171990901], [2.3968357600903647, 48.84783287283599], [2.396939349356215, 48.84776081894162], [2.3969857497871954, 48.84780150487328], [2.397081826383517, 48.84775558779629], [2.3972067576333225, 48.84786448696595], [2.3971068290793753, 48.847931800149304], [2.39718197466874, 48.84798095976355]]], ""type"": ""Polygon""}";48.847721304519226, 2.396928147068433
CP002512;811445;75015;13;3;TS DIAMOND SCI;REHABILITATION_IMMEUBLE;Réhabilitation de la Tour Cristal;Quai André Citroën;Au niveau du 5 - 11 Quai André Citroën et du 1 - 5 rue de l'ingénieur Keller;2023-06-12;2025-12-31;RESTREINTE;Traversée piétonne obligatoire et provisoire au 1 rue de l'ingénieur Keller et dévié au 13 quai André Citroën car fermé au n°11.;2;2;;"{""coordinates"": [[[2.281629017580763, 48.848167721158354], [2.2809547819492324, 48.848428993424186], [2.280955960900329, 48.84847421247658], [2.2813863093462023, 48.848773055081715], [2.281435374632081, 48.84874479495245], [2.281112215455314, 48.848516793846976], [2.2811186070266922, 48.84844544517538], [2.281649960204181, 48.84821781831717], [2.281629017580763, 48.848167721158354]]], ""type"": ""Polygon""}";48.84843637487578, 2.2812529587641186
CP002628;;75012;14;1;S.A.G.P;REAMENAGEMENT_VOIRIE;Travaux en multi phases.;Place Félix Eboué-rue de Reuilly-avenue Daumesnil-avenue de Reuilly;;2024-06-17;2025-12-31;RESTREINTE;Réduction de voies par G.B.A;2;2;;"{""coordinates"": [[[2.394854653387244, 48.84046175723968], [2.3953727594077536, 48.83998638857205], [2.3953524199738676, 48.83998628576524], [2.395576777883709, 48.839933713380866], [2.3952857083163637, 48.83942471495307], [2.394680094894476, 48.839378686705246], [2.3945179414458546, 48.83932952987493], [2.3944557384692025, 48.83943125743396], [2.3940453203825336, 48.83939158401407], [2.3940239821880906, 48.83947740718985], [2.3945929546060185, 48.839525938808826], [2.3946427812020246, 48.83978935299867], [2.394238934686227, 48.839883980917115], [2.394310909168085, 48.83999175783241], [2.3947064953427075, 48.83990782984459], [2.394964284828566, 48.840129330768555], [2.394684921340531, 48.840364227136256], [2.394854653387244, 48.84046175723968]]], ""type"": ""Polygon""}";48.839782408337534, 2.3949302927175573
CP002638;;75005;12;3;A7A8;CONSTRUCTION_IMMEUBLE;;Boulevard de l'Hopital;au n°11;2024-01-08;2026-10-09;RESTREINTE;Neutralisation du trottoir, déviation piétonne obligatoire sur le trottoir d'en face;2;2;;"{""coordinates"": [[[2.3642443559308997, 48.84281055164292], [2.364227885928587, 48.842826576169294], [2.3646293126078626, 48.84260314100179], [2.3640153414574194, 48.8415740817198], [2.363409665230726, 48.84186624664346], [2.363985830436452, 48.842658798852604], [2.3641085295069426, 48.84260574486684], [2.3642443559308997, 48.84281055164292]]], ""type"": ""Polygon""}";48.84219098441977, 2.3640339656032325
CP002729;;75020;10;1;S.A.G.P;REAMENAGEMENT_SECTEUR;Végétalisation de la rue Maryse Hilsz.;rue Maryse Hilsz;;2025-01-02;2025-06-13;BARRAGE_TOTAL;Sauf desserte école et bus ratp.;1;2;;"{""coordinates"": [[[2.4125415335935045, 48.85119133250007], [2.4128015727561016, 48.851224832682455], [2.412801270179294, 48.85125168399301], [2.4132889375556745, 48.849138060102014], [2.4128254755006764, 48.84910356270724], [2.412962720236574, 48.84920090660373], [2.4125415335935045, 48.85119133250007]]], ""type"": ""Polygon""}";48.850133115751426, 2.4129101717557444
CP002814;;75019;10;1;SAGP;REAMENAGEMENT_VOIRIE;travaux d'aménagement;Rue Archereau;Phase 1 entre la rue Riquet et la rue Mathis;2025-03-03;2025-06-02;RESTREINTE;reste une file de circulation;1;2;;"{""coordinates"": [[[2.3717062079816964, 48.88966385745085], [2.373424860621231, 48.8909966727107], [2.373433166447448, 48.89098329020528], [2.3734123857116227, 48.891018089519044], [2.3733671425286254, 48.89105544529075], [2.3733950968242152, 48.89110124021509], [2.373488976832007, 48.891082935624986], [2.3735171897092475, 48.891107249789286], [2.3737255996217783, 48.89104657999118], [2.3736974835785216, 48.891014210262604], [2.3718009282544528, 48.88957574237741], [2.3717722958695484, 48.889586332768495], [2.3717062079816964, 48.88966385745085]]], ""type"": ""Polygon""}";48.89038374830685, 2.37274532314353
CP002847;;75014;12;2;RATP;TRAVAUX_OUVRAGE;Réfection du passage en bâche;3 Rue du Départ;Angle du Boulevard Montparnasse Bienvenue;2025-06-02;2025-09-26;;Suppression d'une voie de circulation et de la voie de bus;2;1;;"{""coordinates"": [[[[2.3245235440059315, 48.843526945226074], [2.324562007425071, 48.84344808128691], [2.324553065478766, 48.84344655224468], [2.324351224223296, 48.84332457203797], [2.3243333841583453, 48.84344531169264], [2.3245235440059315, 48.843526945226074]]], [[[2.324562007425071, 48.84344808128691], [2.324569302914262, 48.8434493294245], [2.3245653389184544, 48.84344125053713], [2.324562007425071, 48.84344808128691]]]], ""type"": ""MultiPolygon""}";48.84343318000926, 2.324437566013257
CP002728;;75010;11;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement des abords de Gare du Nord;rue de Valenciennes;du 7 au 15;2025-04-14;2025-05-06;RESTREINTE;;2;2;;"{""coordinates"": [[[2.3554287196430463, 48.878169253140285], [2.3550251208702284, 48.878214071340714], [2.3545766917721127, 48.87826267370818], [2.3544975251001286, 48.87824479260284], [2.3544319251308905, 48.87828203279961], [2.354504852020841, 48.878310621040605], [2.3554444046285794, 48.878217672260206], [2.3554287196430463, 48.878169253140285]]], ""type"": ""Polygon""}";48.87824291245638, 2.354950539060817
CP002859;;75013;13;2;FRAICHEUR DE PARIS;RACCORDEMENT_RESEAU;Tavaux de raccordement réseau;91-105 Boulevard de L'hôpital, 75013 Paris;;2025-06-16;2025-08-22;;Réduction des nombre des voies;1;1;;"{""coordinates"": [[[2.361393960391114, 48.839560588278616], [2.3614348032746033, 48.83954737970839], [2.3605983217207935, 48.83842580976097], [2.3605636144841893, 48.83843636535036], [2.360565632024599, 48.838437718887455], [2.360565615552904, 48.83843906155142], [2.361393960391114, 48.839560588278616]]], ""type"": ""Polygon""}";48.83900884830609, 2.3610097829974785
CP000139;;75013;14;3;SEMAPA;REAMENAGEMENT_SECTEUR;;Secteur quai d'Ivry;;2012-01-01;2025-07-18;RESTREINTE;Réduction de la circulation selon les phases;2;4;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/Plaquette d'info riv opé SEG11 BEC Bruneseau - 13ème.pdf;"{""coordinates"": [[[2.386040410939928, 48.82726045950963], [2.389009733862189, 48.82510049591564], [2.381913601308459, 48.82268480304111], [2.3797250134650096, 48.824789551026136], [2.382560534273686, 48.82574947645586], [2.386040410939928, 48.82726045950963]]], ""type"": ""Polygon""}";48.824945580960076, 2.384284439827768
CP002794;;75013;14;1;Mission vélo;REAMENAGEMENT_VOIRIE;mise en sens unique de la rue Vergniaud avec végétalisation et élargissement de trottoir.;Rue Vergniaud.;Depuis le Bld Auguste Blanqui jusqu'à la rue Brillat-Savarin en deux phases.;2025-02-17;2025-05-16;SENS_UNIQUE;Mise en sens unique de la rue Vergniaud depuis le rue de la Colonie jusqu'à la rue Brillat-savarin et depuis la rue Tolbiac jusqu'au Bld Auguste Blanqui. Après travaux en définitif.;1;2;;"{""coordinates"": [[[2.345813189056507, 48.83026100492462], [2.345976346357521, 48.83022430167053], [2.3457371000054876, 48.82789746384644], [2.345289343701507, 48.82598302611419], [2.3442298101386583, 48.82291588710814], [2.3440501383525225, 48.82297398007963], [2.3451114164534395, 48.82590149112855], [2.345541750688054, 48.827907136213405], [2.345813256452754, 48.83025563423771], [2.345813189056507, 48.83026100492462]]], ""type"": ""Polygon""}";48.82659536047394, 2.34522171199309
CP002818;;75019;10;1;SAGP;REAMENAGEMENT_VOIRIE;aménagement de voirie phase 2;rue Archereau;carrefour Archereau / Mathis;2025-02-27;2025-06-23;IMPASSE;Fermeture du carrefour Mathis Archereau, Rue Mathis en impasse à partir de Curial vers archereau et rue Archereau de crimé vers Mathis;1;2;;"{""coordinates"": [[[2.3739021692503446, 48.89129791297049], [2.3740330834967693, 48.891247578918225], [2.373885863884974, 48.89113000273158], [2.3738017751206457, 48.891011413816926], [2.373763252651091, 48.890997786394344], [2.3737148096055356, 48.89096262498814], [2.3735553921715833, 48.89101280959242], [2.373502264634053, 48.89102864298273], [2.3734815337558826, 48.89105941450841], [2.373456956882619, 48.891071369195735], [2.3734628873922845, 48.891086168877266], [2.373551629141825, 48.89115644925815], [2.373625083863574, 48.89114340755104], [2.373690266430816, 48.89114106312422], [2.3737287889871688, 48.89115469056853], [2.373744914742154, 48.89116820086929], [2.3739021692503446, 48.89129791297049]]], ""type"": ""Polygon""}";48.891115744343594, 2.373739468617466
CP000753;;75013;14;2;SNCF;TRAVAUX_OUVRAGE;Couverture des voies SNCF;Av de France;côté voies SNCF entre rue Julie Daubié et rue Nicole Rein-Lepaute.;2018-07-23;2025-07-18;RESTREINTE;Les deux sens de circulations sont reportés côté pair de l'avenue.;2;4;;"{""coordinates"": [[[2.379871709032515, 48.82714237090668], [2.3811746477660307, 48.82571180087148], [2.3804182115733226, 48.82548285012793], [2.3786689133943018, 48.82665533943943], [2.379871709032515, 48.82714237090668]]], ""type"": ""Polygon""}";48.82630766425324, 2.3799694728731717
CP002429;662837;75015;13;3;SCCV Porte de Brancion;CONSTRUCTION_IMMEUBLE;Construction neuve, résidence sociale et commerces;Avenue de la Porte de Brancion;Carrefour au-dessus du périphérique;2022-11-14;2025-06-27;RESTREINTE;restriction à 2 files de circulation, maintien de la piste vélos et cheminement piétons.;2;4;;"{""coordinates"": [[[2.299950868215911, 48.82590374090183], [2.30015215168723, 48.82580973482902], [2.300165534628195, 48.8256182539662], [2.300055510377768, 48.82562593831275], [2.2997950850984825, 48.82569580213723], [2.299950868215911, 48.82590374090183]]], ""type"": ""Polygon""}";48.82574599992238, 2.300005595088704
CP002697;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;Base de vie.;79 boulevard de Strasbourg.;en chaussée centrale du boulevard de Strasbourg.;2024-11-12;2025-11-14;RESTREINTE;Réduction de la voirie des BUS et Taxis  sens gare de l'EST boulevard Magenta au droit du  boulevard de Strasbourg.;2;2;;"{""coordinates"": [[[2.357626786382648, 48.8753909265887], [2.3576736405120413, 48.87538782078958], [2.357675684239932, 48.87538716085166], [2.3575753672907913, 48.87518657074664], [2.357538632610941, 48.87519442984643], [2.3575126685307484, 48.875236583548], [2.3575608789960816, 48.87537110498413], [2.357626786382648, 48.8753909265887]]], ""type"": ""Polygon""}";48.8752975487471, 2.357585321445377
CP002700;;75007;12;3;Musée d'Orsay;REHABILITATION_IMMEUBLE;Deux chantiers de réhabilitation de bâtiments publics pour le musée d'Orsay et le conseil d'état.;Quai Voltaire;aux n°29-31;2024-10-01;2026-08-01;RESTREINTE;Réduction du quai Voltaire à une voie de circulation dans le sens Est/Ouest;1;2;;"{""coordinates"": [[[2.3296417394036775, 48.85934551403987], [2.3296896728372563, 48.8594156009651], [2.3301842120362175, 48.859251881289445], [2.3300244401126555, 48.85901736512524], [2.329987574561423, 48.8590359560642], [2.330091444456793, 48.85918691450391], [2.3296376697601486, 48.859345491242436], [2.3296417394036775, 48.85934551403987]]], ""type"": ""Polygon""}";48.85926763703709, 2.329935695831666
CP002823;;75019;10;1;SAGP;REAMENAGEMENT_VOIRIE;;Place Rhin et Danube;;2025-01-13;2025-09-01;RESTREINTE;"Travaux par phase. 
Circualtion restreinte sur rue David D'Angers et rue du Général Brunet";2;2;;"{""coordinates"": [[[2.3929671324764668, 48.88223500825896], [2.3930239736931456, 48.88224872249314], [2.3931906110451946, 48.88227373479838], [2.3934721510050743, 48.88222145634142], [2.3934961656662073, 48.8819074063048], [2.393370991577065, 48.881818159643906], [2.392903368290361, 48.881767454979915], [2.3927237669637385, 48.881806823170734], [2.392567559057823, 48.88193492136706], [2.3925699392792303, 48.88207993550759], [2.392690884608916, 48.88218258758604], [2.3929671324764668, 48.88223500825896]]], ""type"": ""Polygon""}";48.88201739861115, 2.3930498430798743
CP002851;;75017;9;3;SNCF;TRAVAUX_OUVRAGE;Travaux sur Viaduc des Souverains;Bd Berthier;Bd Berthier entre Porte d'Asnier vers la porte de Clichy. fermeture d'un sens de circulation;2025-07-28;2025-08-13;BARRAGE_TOTAL;suivre déviations;1;1;;"{""coordinates"": [[[2.3041351873139173, 48.890046094375535], [2.304122989162591, 48.89004468078932], [2.306682181880515, 48.89127727803201], [2.309891132479896, 48.89280894030571], [2.3103241342992775, 48.89301551166929], [2.3120501067406822, 48.893684662058256], [2.312201748463406, 48.89361168956025], [2.311734122433753, 48.89340492617118], [2.3116249213506928, 48.89334790900361], [2.3104539138187623, 48.892902137328186], [2.304328722110522, 48.89003782003918], [2.3041351873139173, 48.890046094375535]]], ""type"": ""Polygon""}";48.89202543674452, 2.3084514422148934
CP002664;;75005;12;2;ESPCI;REHABILITATION_IMMEUBLE;;rue Rataud, rue Pierre Brossolette.;;2024-09-05;2026-12-31;IMPASSE;mise en impasse des deux rues durant toute la durée des travaux.;2;2;;"{""coordinates"": [[[2.3472545526588617, 48.84261609261237], [2.3472753301867515, 48.8425812972096], [2.346433948323191, 48.8421953851312], [2.347801285985655, 48.84184032679391], [2.3477773158274644, 48.84180528731196], [2.346271629563287, 48.84216227402575], [2.346283765764437, 48.8421677113442], [2.3472545526588617, 48.84261609261237]]], ""type"": ""Polygon""}";48.84213805283548, 2.34694153763722
CP002734;;75018;9;1;Mission Vélo;REAMENAGEMENT_VOIRIE;Création d'une piste cyclable.;rue Damrémont.;Depuis la rue joseph de Maistre jusqu'à la rue Lamarck.;2025-01-13;2025-06-11;RESTREINTE;chaussée rétrécie avec fermeture de voie ponctuelle. rue Tourlaque, Steinlein, Félix Ziem.;1;2;;"{""coordinates"": [[[2.3342033462461593, 48.89053928247324], [2.334301620054392, 48.890496865390595], [2.3327877659151124, 48.8878783991671], [2.3326534386366733, 48.88692170724504], [2.332537232344161, 48.887092914845084], [2.3326407750285876, 48.887909802003236], [2.3341873339462973, 48.890517712158186], [2.3342033462461593, 48.89053928247324]]], ""type"": ""Polygon""}";48.888721740931054, 2.3332492276671832
CP002803;;75010;11;1;STV CENTRE;REAMENAGEMENT_VOIRIE;Elargissement du trottoir.;Rue Paradis;Angle Paradis Hauteville jusqu'à la Rue Faubourg Poissonnières;2025-04-01;2025-06-30;IMPASSE;circulation restreinte juste accès parking autorisé.;1;2;;"{""coordinates"": [[[2.35067852980511, 48.87539998245188], [2.350662279654588, 48.87539720888842], [2.350654540914875, 48.87536494369954], [2.348402431334144, 48.87576086523615], [2.348434525820981, 48.87579863307086], [2.348446772213064, 48.87579601520915], [2.35067852980511, 48.87539998245188]]], ""type"": ""Polygon""}";48.87558453457416, 2.3495223532053413
CP002807;;75008;9;3;O.G.I.C;REHABILITATION_IMMEUBLE;Création d'une base vie.;Oreille rue de Provence, rue de rome, Bld Haussamnn;;2025-03-24;2026-09-14;;"base vie stationnée entre les balisées pour maintenir une giration bus et pompier.
R + 5 la base vie.";2;2;;"{""coordinates"": [[[2.326057145562662, 48.874104342812146], [2.3260419568159576, 48.87401967082219], [2.326107710656712, 48.87397170690998], [2.325926484779523, 48.87397739919874], [2.325876475252415, 48.874067074010576], [2.325979265972518, 48.874145525746336], [2.326057145562662, 48.874104342812146]]], ""type"": ""Polygon""}";48.87404821223789, 2.3259813854514197
CP002844;;75012;14;2;CPCU-FraicheurdeParis-;RACCORDEMENT_RESEAU;rue Van gogh fermé à la circulation entre rue de bercy et le quai de la Rapée, suivre déviation;rue van Gogh;déviations par Diderot et Villot;2025-06-16;2025-08-18;BARRAGE_TOTAL;déviations vélo et circulation par Diderot et Villot.;1;1;;"{""coordinates"": [[[2.372107267779699, 48.844486252602934], [2.3722080727010515, 48.84439279500569], [2.3721652753773537, 48.84439928322906], [2.372132809651873, 48.8443924000268], [2.3711069598810663, 48.843766700903885], [2.371045467423397, 48.84380531540824], [2.3720935470183835, 48.844443214605], [2.3721076074594842, 48.84445805857741], [2.3721135484577496, 48.84447151629123], [2.372107267779699, 48.844486252602934]]], ""type"": ""Polygon""}";48.84411765294246, 2.371620911674914
CP002699;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;Réduction de la voirie par GBA et K8 pour la gestion des flux VL PL de la base vie au 79 et report d;81 - 83 Boulevard de Strasbourg;en face du terminus pour la gestion des VL PL;2024-11-17;2025-11-14;RESTREINTE;;2;2;;"{""coordinates"": [[[2.357801294574197, 48.8756825415542], [2.357771889654093, 48.87559108509271], [2.3577739664994275, 48.875587739915886], [2.357703615375249, 48.875598103224895], [2.357714329620317, 48.87563709653034], [2.357801294574197, 48.8756825415542]]], ""type"": ""Polygon""}";48.875627858833006, 2.357752906252346
CP002723;;75010;11;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement des abords de Gare du Nord;rue de Dunkerque;du n°25 au 31;2025-03-10;2025-06-06;RESTREINTE;"Circulation restreinte
Reduction de la largeur de la voie et du trottoir impair. Contresens cyclable maintenu.";2;2;;"{""coordinates"": [[[2.3545565871009146, 48.87980273103191], [2.3536756032230848, 48.880094697390184], [2.3534444064216147, 48.88018877548703], [2.3525703331922796, 48.88041498218547], [2.352594142113285, 48.88046478822619], [2.353559347963645, 48.88027666644886], [2.3546237479613463, 48.87996823564009], [2.3545565871009146, 48.87980273103191]]], ""type"": ""Polygon""}";48.88013085922085, 2.353775419687256
CP002842;;75016;12;1;STV;REAMENAGEMENT_VOIRIE;changement de plan de circulation place du Trocadéro. ouverture au SUD, sens giratoire;;place du Trocadéro;2025-04-24;2025-05-13;RESTREINTE;;1;2;;"{""coordinates"": [[[2.2868037221036968, 48.862503469697685], [2.2866847467967695, 48.862572578270715], [2.286577813993233, 48.86265384221547], [2.286480431751918, 48.862780814141814], [2.2864332751272767, 48.86295507752333], [2.286476092262008, 48.863097654430675], [2.2865921996724214, 48.86323798185085], [2.2868102358774784, 48.86336549107254], [2.2869924167218407, 48.86343639419649], [2.2872059832951814, 48.863444380040896], [2.2874035483433643, 48.86343213013888], [2.287601772857904, 48.863371548163805], [2.287823683263704, 48.863215778189925], [2.2877253888882123, 48.8631118090889], [2.287732044424997, 48.86307156941192], [2.287765740362646, 48.86298852590528], [2.2871123702353198, 48.86255230074395], [2.28695239148518, 48.86249495645264], [2.286850576666449, 48.862499720713366], [2.2868037221036968, 48.862503469697685]]], ""type"": ""Polygon""}";48.86300699822477, 2.287080525779645
CP002704;;75010;11;1;Eau de PARIS;INSPECTION_ENTRETIEN_RESEAU;;148 quai de Jemmapes;;2024-09-20;2025-04-25;IMPASSE;Quai Jemmapes fermé depuis le pont Maria Casarès jusqu'au 150 quai Jemmapes.;2;4;;"{""coordinates"": [[[2.3659513959409657, 48.87757496031595], [2.366045417611009, 48.877543235162435], [2.365932839806638, 48.877427173583136], [2.3656792383725844, 48.877525183896154], [2.3657193264900496, 48.87757641635876], [2.3658500833819294, 48.87753683066461], [2.3658502141645816, 48.87752608972539], [2.3659513959409657, 48.87757496031595]]], ""type"": ""Polygon""}";48.877511959501966, 2.3658727041610015
